uid,created_at,updated_at,deleted_at,upid,subscription_id,lat,lon,season,water_methods,budget_bucket,previous_crop_code,was_fallow,top_n,lang,zone_filter_applied,soil_class_detected,soil_texture_label,results,notes
recommendation_history_a0f57681-0053-4b6a-a1fd-bca0427be3a5,2026-08-17 10:49:15.332923+00:00,,,users_308e18ea-c68c-49a4-81f0-7007d4430ee4,sub-test-001,28.6139,77.209,KHARIF,"['SURFACE', 'RAINFED']",B3,,True,3,hn,True,0,Unclassified / No Data / Road / Water / Buildings,"[{'crop': 'Rice (paddy)', 'translated_name': 'धान / चावल', 'family': 'Cereal', 'horizon': 'SEASONAL', 'total': 16.0, 'max_total': 17.0, 'suitability_pct': 94.1, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 1, 'weight': 1.0, 'weighted': 1.0}]}, {'crop': 'Green gram', 'translated_name': 'मूंग', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 16.0, 'max_total': 17.0, 'suitability_pct': 94.1, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 1, 'weight': 1.0, 'weighted': 1.0}]}, {'crop': 'Cotton', 'translated_name': 'कपास', 'family': 'Fibre', 'horizon': 'SEASONAL', 'total': 16.0, 'max_total': 17.0, 'suitability_pct': 94.1, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 1, 'weight': 1.0, 'weighted': 1.0}]}]","['Agro-climatic zone resolved to Zone 6 (from pincode 110011).', 'Soil texture: no data at these coordinates (road/water/urban). Soil factor skipped.']"
recommendation_history_7a0be7e2-07bc-4081-9ef3-90be9beb15dc,2026-08-17 10:49:19.120134+00:00,,,users_308e18ea-c68c-49a4-81f0-7007d4430ee4,sub-test-001,12.52,76.89,RABI,"['DRIP', 'SURFACE']",B2,Rice (paddy),False,5,kn,True,0,Unclassified / No Data / Road / Water / Buildings,"[{'crop': 'Carrot', 'translated_name': 'ಕ್ಯಾರೆಟ್', 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Black gram', 'translated_name': 'ಉದ್ದು', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Sorghum', 'translated_name': 'ಜೋಳ', 'family': 'Millet', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Chickpea', 'translated_name': 'ಕಡಲೆ', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Groundnut', 'translated_name': 'ಕಡಲೆಕಾಯಿ / ಶೇಂಗಾ', 'family': 'Oilseed', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}]","['Agro-climatic zone resolved to Zone 10 (from pincode 571401).', 'Soil texture: no data at these coordinates (road/water/urban). Soil factor skipped.']"
recommendation_history_72e9fa74-35e9-4007-9cb8-9f752f16177e,2026-08-17 18:54:45.583856+00:00,,,users_308e18ea-c68c-49a4-81f0-7007d4430ee4,sub-test-001,28.6139,77.209,KHARIF,"['SURFACE', 'RAINFED']",B3,,True,3,hn,True,0,Unclassified / No Data / Road / Water / Buildings,"[{'crop': 'Green gram', 'translated_name': 'मूंग', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 16.0, 'max_total': 17.0, 'suitability_pct': 94.1, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 1, 'weight': 1.0, 'weighted': 1.0}]}, {'crop': 'Cotton', 'translated_name': 'कपास', 'family': 'Fibre', 'horizon': 'SEASONAL', 'total': 16.0, 'max_total': 17.0, 'suitability_pct': 94.1, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 1, 'weight': 1.0, 'weighted': 1.0}]}, {'crop': 'Radish', 'translated_name': 'मूली', 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 16.0, 'max_total': 17.0, 'suitability_pct': 94.1, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 1, 'weight': 1.0, 'weighted': 1.0}]}]","['Agro-climatic zone resolved to Zone 6 (from pincode 110011).', 'Soil texture: no data at these coordinates (road/water/urban). Soil factor skipped.']"
recommendation_history_00d38596-8eff-426c-87e7-aec0b7a97e3c,2026-08-17 18:54:49.629911+00:00,,,users_308e18ea-c68c-49a4-81f0-7007d4430ee4,sub-test-001,12.52,76.89,RABI,"['DRIP', 'SURFACE']",B2,Rice (paddy),False,5,kn,True,0,Unclassified / No Data / Road / Water / Buildings,"[{'crop': 'Chickpea', 'translated_name': 'ಕಡಲೆ', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Black gram', 'translated_name': 'ಉದ್ದು', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Groundnut', 'translated_name': 'ಕಡಲೆಕಾಯಿ / ಶೇಂಗಾ', 'family': 'Oilseed', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Onion', 'translated_name': 'ಈರುಳ್ಳಿ', 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Brinjal', 'translated_name': 'ಬದನೆಕಾಯಿ', 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 17.0, 'max_total': 17.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}]","['Agro-climatic zone resolved to Zone 10 (from pincode 571401).', 'Soil texture: no data at these coordinates (road/water/urban). Soil factor skipped.']"
recommendation_history_376900d7-eb72-4044-87e3-0ec5c59c72e9,2026-08-18 09:43:06.072749+00:00,,,users_308e18ea-c68c-49a4-81f0-7007d4430ee4,subscriptions_e17c379d-13a4-43e3-872f-db1ab0469422,14.462,75.989,KHARIF,['RAINFED'],B1,Wheat,False,5,kn,True,6,Clay Loam,"[{'crop': 'Green gram', 'translated_name': 'ಹೆಸರು ಕಾಳು', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Black gram', 'translated_name': 'ಉದ್ದು', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Pumpkin', 'translated_name': 'ಕುಂಬಳಕಾಯಿ', 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Cowpea', 'translated_name': 'ಅಲಸಂದೆ', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Fodder maize', 'translated_name': 'ಮೇವಿನ ಮೆಕ್ಕೆಜೋಳ', 'family': 'Fodder', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}]","['Agro-climatic zone resolved to Zone 10 (from pincode 577003).', 'Soil texture auto-detected: Clay Loam (Class 6) from coordinates.']"
recommendation_history_2bfc4cbb-ae86-477b-afd3-16cdce57c042,2026-08-18 09:43:29.825490+00:00,,,users_308e18ea-c68c-49a4-81f0-7007d4430ee4,subscriptions_e17c379d-13a4-43e3-872f-db1ab0469422,14.462,75.989,KHARIF,['SURFACE'],B2,Wheat,False,5,kn,True,6,Clay Loam,"[{'crop': 'Pigeon pea', 'translated_name': 'ತೊಗರಿ', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Green gram', 'translated_name': 'ಹೆಸರು ಕಾಳು', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Black gram', 'translated_name': 'ಉದ್ದು', 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Brinjal', 'translated_name': 'ಬದನೆಕಾಯಿ', 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Okra', 'translated_name': 'ಬೆಂಡೆಕಾಯಿ', 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}]","['Agro-climatic zone resolved to Zone 10 (from pincode 577003).', 'Soil texture auto-detected: Clay Loam (Class 6) from coordinates.']"
recommendation_history_fe783dcd-1a04-4492-80ae-90034f5e9993,2026-08-18 09:43:38.051439+00:00,,,users_308e18ea-c68c-49a4-81f0-7007d4430ee4,subscriptions_e17c379d-13a4-43e3-872f-db1ab0469422,14.462,75.989,KHARIF,['SURFACE'],B2,Wheat,False,5,en,True,6,Clay Loam,"[{'crop': 'Pigeon pea', 'translated_name': None, 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Green gram', 'translated_name': None, 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Black gram', 'translated_name': None, 'family': 'Pulse', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Brinjal', 'translated_name': None, 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}, {'crop': 'Okra', 'translated_name': None, 'family': 'Vegetable', 'horizon': 'SEASONAL', 'total': 20.0, 'max_total': 20.0, 'suitability_pct': 100.0, 'factors': [{'factor': 'SEASON', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'WATER', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'ZONE', 'points': 2, 'weight': 2.0, 'weighted': 4.0}, {'factor': 'SOIL', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'BUDGET', 'points': 2, 'weight': 1.5, 'weighted': 3.0}, {'factor': 'ROTATION', 'points': 2, 'weight': 1.0, 'weighted': 2.0}]}]","['Agro-climatic zone resolved to Zone 10 (from pincode 577003).', 'Soil texture auto-detected: Clay Loam (Class 6) from coordinates.']"
