uid,created_at,updated_at,deleted_at,crop_uid,season,score
crop-season-077-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-077,KHARIF,1
crop-season-077-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-077,RABI,1
crop-season-077-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-077,ZAID,0
crop-season-077-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-077,LONGTERM,2
crop-season-078-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-078,KHARIF,1
crop-season-078-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-078,RABI,1
crop-season-078-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-078,ZAID,0
crop-season-078-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-078,LONGTERM,2
crop-season-079-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-079,KHARIF,0
crop-season-079-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-079,RABI,0
crop-season-079-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-079,ZAID,0
crop-season-079-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-079,LONGTERM,2
crop-season-080-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-080,KHARIF,0
crop-season-080-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-080,RABI,0
crop-season-080-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-080,ZAID,0
crop-season-080-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-080,LONGTERM,2
crop-season-081-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-081,KHARIF,0
crop-season-081-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-081,RABI,0
crop-season-081-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-081,ZAID,0
crop-season-081-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-081,LONGTERM,2
crop-season-082-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-082,KHARIF,0
crop-season-082-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-082,RABI,0
crop-season-082-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-082,ZAID,0
crop-season-082-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-082,LONGTERM,2
crop-season-083-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-083,KHARIF,0
crop-season-083-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-083,RABI,0
crop-season-083-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-083,ZAID,0
crop-season-083-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-083,LONGTERM,2
crop-season-084-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-084,KHARIF,0
crop-season-084-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-084,RABI,0
crop-season-084-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-084,ZAID,0
crop-season-084-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-084,LONGTERM,2
crop-season-085-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-085,KHARIF,0
crop-season-085-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-085,RABI,0
crop-season-085-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-085,ZAID,0
crop-season-085-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-085,LONGTERM,2
crop-season-086-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-086,KHARIF,0
crop-season-086-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-086,RABI,0
crop-season-086-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-086,ZAID,0
crop-season-086-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-086,LONGTERM,2
crop-season-087-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-087,KHARIF,0
crop-season-087-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-087,RABI,0
crop-season-087-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-087,ZAID,0
crop-season-087-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-087,LONGTERM,2
crop-season-088-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-088,KHARIF,0
crop-season-088-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-088,RABI,0
crop-season-088-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-088,ZAID,0
crop-season-088-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-088,LONGTERM,2
crop-season-089-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-089,KHARIF,0
crop-season-089-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-089,RABI,0
crop-season-089-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-089,ZAID,0
crop-season-089-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-089,LONGTERM,2
crop-season-090-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-090,KHARIF,0
crop-season-090-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-090,RABI,0
crop-season-090-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-090,ZAID,0
crop-season-090-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-090,LONGTERM,2
crop-season-091-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-091,KHARIF,0
crop-season-091-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-091,RABI,0
crop-season-091-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-091,ZAID,0
crop-season-091-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-091,LONGTERM,2
crop-season-092-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-092,KHARIF,1
crop-season-092-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-092,RABI,1
crop-season-092-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-092,ZAID,0
crop-season-092-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-092,LONGTERM,2
crop-season-093-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-093,KHARIF,0
crop-season-093-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-093,RABI,2
crop-season-093-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-093,ZAID,0
crop-season-093-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-093,LONGTERM,0
crop-season-094-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-094,KHARIF,2
crop-season-094-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-094,RABI,2
crop-season-094-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-094,ZAID,0
crop-season-094-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-094,LONGTERM,0
crop-season-095-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-095,KHARIF,1
crop-season-095-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-095,RABI,1
crop-season-095-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-095,ZAID,0
crop-season-095-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-095,LONGTERM,2
crop-season-096-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-096,KHARIF,1
crop-season-096-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-096,RABI,1
crop-season-096-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-096,ZAID,0
crop-season-096-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-096,LONGTERM,2
crop-season-097-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-097,KHARIF,2
crop-season-097-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-097,RABI,0
crop-season-097-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-097,ZAID,0
crop-season-097-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-097,LONGTERM,0
crop-season-098-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-098,KHARIF,2
crop-season-098-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-098,RABI,0
crop-season-098-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-098,ZAID,0
crop-season-098-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-098,LONGTERM,0
crop-season-099-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-099,KHARIF,0
crop-season-099-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-099,RABI,2
crop-season-099-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-099,ZAID,0
crop-season-099-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-099,LONGTERM,0
crop-season-100-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-100,KHARIF,0
crop-season-100-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-100,RABI,2
crop-season-100-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-100,ZAID,0
crop-season-100-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-100,LONGTERM,0
crop-season-101-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-101,KHARIF,1
crop-season-101-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-101,RABI,1
crop-season-101-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-101,ZAID,0
crop-season-101-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-101,LONGTERM,2
crop-season-102-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-102,KHARIF,0
crop-season-102-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-102,RABI,2
crop-season-102-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-102,ZAID,0
crop-season-102-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-102,LONGTERM,0
crop-season-103-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-103,KHARIF,2
crop-season-103-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-103,RABI,0
crop-season-103-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-103,ZAID,2
crop-season-103-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-103,LONGTERM,0
crop-season-104-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-104,KHARIF,2
crop-season-104-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-104,RABI,0
crop-season-104-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-104,ZAID,0
crop-season-104-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-104,LONGTERM,0
